year,id,educ,sex,race,income,natfare,health,satfin
2010.0,285.0,13.0,2.0,2.0,12.0,2.0,2.0,2.0
2010.0,287.0,13.0,1.0,3.0,12.0,1.0,2.0,3.0
2010.0,291.0,19.0,1.0,1.0,1.0,3.0,2.0,1.0
2010.0,292.0,20.0,1.0,1.0,12.0,2.0,2.0,2.0
2010.0,298.0,13.0,2.0,2.0,10.0,2.0,3.0,3.0
2010.0,302.0,20.0,1.0,1.0,12.0,3.0,2.0,1.0
2010.0,304.0,12.0,1.0,1.0,12.0,2.0,2.0,2.0
2010.0,306.0,12.0,1.0,1.0,12.0,3.0,3.0,3.0
2010.0,310.0,20.0,1.0,1.0,12.0,3.0,2.0,1.0
2010.0,312.0,15.0,2.0,3.0,9.0,1.0,1.0,2.0
2010.0,315.0,11.0,1.0,1.0,12.0,2.0,2.0,2.0
2010.0,325.0,16.0,2.0,2.0,12.0,3.0,1.0,2.0
2010.0,326.0,13.0,2.0,2.0,12.0,2.0,2.0,3.0
2010.0,334.0,10.0,1.0,2.0,12.0,3.0,2.0,3.0
2010.0,336.0,12.0,1.0,1.0,11.0,3.0,4.0,3.0
2010.0,339.0,14.0,1.0,3.0,12.0,2.0,2.0,3.0
2010.0,341.0,18.0,2.0,1.0,12.0,1.0,1.0,1.0
2010.0,345.0,14.0,2.0,3.0,10.0,1.0,2.0,2.0
2010.0,346.0,18.0,2.0,2.0,12.0,3.0,2.0,2.0
2010.0,348.0,13.0,2.0,3.0,12.0,3.0,2.0,2.0
2010.0,351.0,12.0,2.0,1.0,11.0,2.0,2.0,3.0
2010.0,357.0,16.0,2.0,1.0,9.0,2.0,1.0,2.0
2010.0,360.0,20.0,2.0,2.0,12.0,3.0,4.0,1.0
2010.0,368.0,16.0,1.0,1.0,12.0,2.0,2.0,2.0
2010.0,369.0,14.0,2.0,1.0,9.0,1.0,2.0,1.0
2010.0,377.0,9.0,1.0,1.0,12.0,2.0,2.0,3.0
2010.0,382.0,12.0,1.0,1.0,12.0,1.0,3.0,2.0
2010.0,392.0,12.0,2.0,2.0,12.0,2.0,2.0,3.0
2010.0,396.0,17.0,1.0,1.0,12.0,3.0,2.0,1.0
2010.0,398.0,14.0,2.0,1.0,12.0,3.0,2.0,2.0
2010.0,400.0,14.0,2.0,1.0,12.0,2.0,2.0,1.0
2010.0,401.0,12.0,2.0,2.0,1.0,1.0,4.0,3.0
2010.0,403.0,11.0,2.0,3.0,6.0,2.0,3.0,1.0
2010.0,406.0,13.0,2.0,1.0,3.0,1.0,4.0,2.0
2010.0,413.0,12.0,2.0,2.0,12.0,2.0,2.0,1.0
2010.0,415.0,16.0,2.0,1.0,12.0,3.0,2.0,2.0
2010.0,418.0,12.0,1.0,1.0,12.0,1.0,1.0,3.0
2010.0,423.0,10.0,2.0,1.0,12.0,2.0,3.0,3.0
2010.0,424.0,11.0,2.0,2.0,9.0,1.0,3.0,3.0
2010.0,429.0,12.0,2.0,1.0,11.0,2.0,2.0,3.0
2010.0,432.0,12.0,1.0,1.0,12.0,1.0,1.0,2.0
2010.0,439.0,13.0,1.0,2.0,11.0,2.0,2.0,1.0
2010.0,447.0,16.0,1.0,1.0,12.0,2.0,1.0,1.0
2010.0,448.0,18.0,2.0,1.0,12.0,2.0,3.0,2.0
2010.0,454.0,0.0,1.0,1.0,12.0,2.0,2.0,2.0
2010.0,459.0,14.0,2.0,1.0,12.0,3.0,2.0,3.0
2010.0,461.0,18.0,2.0,1.0,12.0,3.0,2.0,3.0
2010.0,467.0,13.0,1.0,1.0,12.0,2.0,4.0,3.0
2010.0,468.0,12.0,2.0,1.0,12.0,1.0,4.0,2.0
2010.0,469.0,15.0,1.0,1.0,12.0,2.0,3.0,3.0
2010.0,476.0,12.0,2.0,1.0,12.0,3.0,2.0,3.0
2010.0,478.0,12.0,2.0,3.0,12.0,2.0,3.0,3.0
2010.0,479.0,20.0,1.0,3.0,12.0,2.0,2.0,1.0
2010.0,484.0,13.0,1.0,1.0,12.0,2.0,2.0,3.0
2010.0,486.0,13.0,2.0,1.0,12.0,3.0,1.0,1.0
2010.0,490.0,16.0,1.0,1.0,12.0,2.0,1.0,2.0
2010.0,492.0,11.0,2.0,2.0,3.0,1.0,2.0,1.0
2010.0,507.0,11.0,2.0,3.0,12.0,1.0,1.0,2.0
2010.0,510.0,14.0,1.0,1.0,12.0,2.0,2.0,1.0
2010.0,512.0,14.0,1.0,1.0,12.0,2.0,2.0,3.0
2010.0,525.0,13.0,2.0,1.0,11.0,1.0,1.0,3.0
